"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_given_away","waste_handed_to_collectors_RS","waste_delivered_to_operators_RS","waste_sent_to_EU","waste_sent_to_non_EU","waste_delivered_to_collectors_warehouse"
2024,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1064.631,0,0,0,0,1064.631
2024,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",429.601,1.224,428.377,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3341.94,36.48,3305.46,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4193.496,0,4193.496,0,0,0
2024,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",11.5,0,11.5,0,0,0
2024,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1397.045,90.74,1236.117,44.06,0,26.128
2024,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",546.457,0,494.421,0,0,52.036
2024,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",64.56,0,21.524,0,0,43.036
2024,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2.842,0,2.842,0,0,0
2024,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",911.69,0,908.717,0,0,2.973
2024,"KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",35.88,0,35.88,0,0,0
2024,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",11028.08,0,11028.08,0,0,0
2024,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",44.04,0,41.64,0,0,2.4
2024,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2168.631,70.78,2097.851,0,0,0
2024,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1567.84,0,1567.84,0,0,0
2024,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2156.141,165.74,1940.17,0,0,50.231
2024,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3976,0,3976,0,0,0
2024,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2554.583,0,2490.355,0,0,64.228
2024,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",45.34,0,37.898,0,0,7.442
2024,"OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2317.423,0,2317.423,0,0,0
2024,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",19323.947,74.68,11647.673,0,0,7601.594
2024,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3840.205,25.83,3761.575,52.19,0,0.61
2024,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1117.54,0,1066.76,15.55,0,35.23
2024,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",665.009,0,665.009,0,0,0
2024,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",12.095,0,12.095,0,0,0
2024,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",34111.522,1761.77,30126.848,0,0,2222.904
2024,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",15502.059,0,15502.059,0,0,0
2024,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",18213.05,0,18213.05,0,0,0
