"year","statistical_region","collection_centre","waste_code","type_of_waste","waste_category","waste_collected_by_centre"
2024,"OSREDNJESLOVENSKA","Center za ravnanje z odpadki Suhadole; SUHADOLE 101, 1218 KOMENDA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4294.93
2024,"OSREDNJESLOVENSKA","Center za zbiranje in predelavo odpadkov  Brdo; OBRTNA CONA LOGATEC 32, 1370 LOGATEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",103.276
2024,"OSREDNJESLOVENSKA","Center za zbiranje in predelavo odpadkov  Brdo; OBRTNA CONA LOGATEC 32, 1370 LOGATEC","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",52.8
2024,"OSREDNJESLOVENSKA","Center za zbiranje in predelavo odpadkov  Brdo; OBRTNA CONA LOGATEC 32, 1370 LOGATEC","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",15.92
2024,"OSREDNJESLOVENSKA","JP KPV, d.o.o.; POT NA TOJNICE 40, 1360 VRHNIKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",151.48
2024,"OSREDNJESLOVENSKA","JP KPV, d.o.o.; POT NA TOJNICE 40, 1360 VRHNIKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",743.47
2024,"OSREDNJESLOVENSKA","JP KPV, d.o.o.; POT NA TOJNICE 40, 1360 VRHNIKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",618.32
2024,"OSREDNJESLOVENSKA","JP KPV, d.o.o.; POT NA TOJNICE 40, 1360 VRHNIKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",300.3
2024,"OSREDNJESLOVENSKA","Kemis; POT NA TOJNICE 42, 1360 VRHNIKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",44.98
2024,"OSREDNJESLOVENSKA","Kemis; POT NA TOJNICE 42, 1360 VRHNIKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.352
2024,"OSREDNJESLOVENSKA","Kemis; POT NA TOJNICE 42, 1360 VRHNIKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.516
2024,"OSREDNJESLOVENSKA","Komenda; POD HRASTI 33, 1218 KOMENDA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",15015.216
2024,"OSREDNJESLOVENSKA","Logatec; IOC ZAPOLJE III 9, 1370 LOGATEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2172.894
2024,"OSREDNJESLOVENSKA","Logatec; IOC ZAPOLJE III 9, 1370 LOGATEC","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1670.184
2024,"OSREDNJESLOVENSKA","Logatec; IOC ZAPOLJE III 9, 1370 LOGATEC","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",664.369
2024,"OSREDNJESLOVENSKA","Logatec; IOC ZAPOLJE III 9, 1370 LOGATEC","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",686.282
2024,"OSREDNJESLOVENSKA","Logatec; IOC ZAPOLJE III 9, 1370 LOGATEC","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.38
2024,"OSREDNJESLOVENSKA","Ostri vrh","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",186.321
2024,"OSREDNJESLOVENSKA","Ostri vrh","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",179.591
2024,"OSREDNJESLOVENSKA","Ostri vrh","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",359.99
2024,"OSREDNJESLOVENSKA","Ostri vrh","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",130.99
2024,"OSREDNJESLOVENSKA","Skladišče Ljubljana; ŠLANDROVA ULICA 6, 1231 LJUBLJANA - ČRNUČE","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2317.423
2024,"OSREDNJESLOVENSKA","Skladišče Ljubljana; ŠLANDROVA ULICA 6, 1231 LJUBLJANA - ČRNUČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4033.014
2024,"OSREDNJESLOVENSKA","Skladišče Ljubljana; ŠLANDROVA ULICA 6, 1231 LJUBLJANA - ČRNUČE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1769.251
2024,"OSREDNJESLOVENSKA","Skladišče Ljubljana; ŠLANDROVA ULICA 6, 1231 LJUBLJANA - ČRNUČE","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",13.14
2024,"OSREDNJESLOVENSKA","Skladišče Ljubljana; ŠLANDROVA ULICA 6, 1231 LJUBLJANA - ČRNUČE","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0.64
2024,"OSREDNJESLOVENSKA","Skladišče Ljubljana; ŠLANDROVA ULICA 6, 1231 LJUBLJANA - ČRNUČE","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",12.095
2024,"OSREDNJESLOVENSKA","Skladišče Ljubljana; ŠLANDROVA ULICA 6, 1231 LJUBLJANA - ČRNUČE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",5648.718
2024,"OSREDNJESLOVENSKA","Skladišče Ljubljana; ŠLANDROVA ULICA 6, 1231 LJUBLJANA - ČRNUČE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",94.159
2024,"OSREDNJESLOVENSKA","ZC Barje; CESTA DVEH CESARJEV 101, 1000 LJUBLJANA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",10942.598
2024,"OSREDNJESLOVENSKA","ZC Barje; CESTA DVEH CESARJEV 101, 1000 LJUBLJANA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",273.62
2024,"OSREDNJESLOVENSKA","ZC Barje; CESTA DVEH CESARJEV 101, 1000 LJUBLJANA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",7523.156
2024,"OSREDNJESLOVENSKA","ZC Barje; CESTA DVEH CESARJEV 101, 1000 LJUBLJANA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",9702.24
2024,"OSREDNJESLOVENSKA","ZC Barje; CESTA DVEH CESARJEV 101, 1000 LJUBLJANA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",10052.28
2024,"OSREDNJESLOVENSKA","Zbirni center 1; BRNČIČEVA ULICA 29, 1231 LJUBLJANA - ČRNUČE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",4.28
2024,"OSREDNJESLOVENSKA","Zbirni center DARKO Moste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",23.72
2024,"OSREDNJESLOVENSKA","Zbirni center DARKO Moste","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1088.48
2024,"OSREDNJESLOVENSKA","Zbirni center Publicus Suhadole; SUHADOLE 101, 1218 KOMENDA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",643.828
2024,"OSREDNJESLOVENSKA","Zbirni center Publicus Suhadole; SUHADOLE 101, 1218 KOMENDA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",82.44
2024,"OSREDNJESLOVENSKA","Zbirni center Publicus Suhadole; SUHADOLE 101, 1218 KOMENDA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",60.05
2024,"OSREDNJESLOVENSKA","Šmartno pri Litiji","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",281.925
2024,"OSREDNJESLOVENSKA","Šmartno pri Litiji","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",266.415
2024,"OSREDNJESLOVENSKA","Šmartno pri Litiji","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",541.33
2024,"OSREDNJESLOVENSKA","Šmartno pri Litiji","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",706.49
2024,"PODRAVSKA","CERO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",344.843
2024,"PODRAVSKA","CERO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",604.363
2024,"PODRAVSKA","CERO GAJKE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18.448
2024,"PODRAVSKA","CERO GAJKE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",50.017
2024,"PODRAVSKA","CERO GAJKE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2.981
2024,"PODRAVSKA","CERO GAJKE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",21.676
2024,"PODRAVSKA","CERO Gajke, DORNAVSKA CESTA 26, 2250 PTUJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",263.231
2024,"PODRAVSKA","CERO Gajke; DORNAVSKA CESTA 26, 2250 PTUJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",687.88
2024,"PODRAVSKA","CERO Gajke; DORNAVSKA CESTA 26, 2250 PTUJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",243.256
2024,"PODRAVSKA","CERO Gajke; DORNAVSKA CESTA 26, 2250 PTUJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",827.665
2024,"PODRAVSKA","GORIŠNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",33.519
2024,"PODRAVSKA","GORIŠNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",79.212
2024,"PODRAVSKA","GORIŠNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",48.64
2024,"PODRAVSKA","GORIŠNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",229.8
2024,"PODRAVSKA","HAJDINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",37.695
2024,"PODRAVSKA","HAJDINA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",89.082
2024,"PODRAVSKA","HAJDINA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",83.639
2024,"PODRAVSKA","HAJDINA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",253.003
2024,"PODRAVSKA","MARKOVCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",32.138
2024,"PODRAVSKA","MARKOVCI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",75.95
2024,"PODRAVSKA","MARKOVCI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",67.96
2024,"PODRAVSKA","MARKOVCI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",248.12
2024,"PODRAVSKA","MURETINCI","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",41.8
2024,"PODRAVSKA","P.URŠIČ d.o.o.; TOVARNIŠKA CESTA 51, 2342 RUŠE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",34.2
2024,"PODRAVSKA","P.URŠIČ d.o.o.; TOVARNIŠKA CESTA 51, 2342 RUŠE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",50.28
2024,"PODRAVSKA","SEDEŽ; KOLODVORSKA ULICA 37D, 2310 SLOVENSKA BISTRICA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",8.76
2024,"PODRAVSKA","SEDEŽ; MURETINCI 47B, 2272 GORIŠNICA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",71.72
2024,"PODRAVSKA","Skladišče Maribor, TRŽAŠKA CESTA 55, 2000 MARIBOR","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",552.252
2024,"PODRAVSKA","Skladišče Ptuj; ŠPINDLERJEVA ULICA 21, 2250 PTUJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",121.721
2024,"PODRAVSKA","Skladišče Ptuj; ŠPINDLERJEVA ULICA 21, 2250 PTUJ","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",72.94
2024,"PODRAVSKA","Skladišče Ptuj; ŠPINDLERJEVA ULICA 21, 2250 PTUJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",644.232
2024,"PODRAVSKA","Skladišče Ptuj; ŠPINDLERJEVA ULICA 21, 2250 PTUJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",10.26
2024,"PODRAVSKA","Skladišče Ptuj; ŠPINDLERJEVA ULICA 21, 2250 PTUJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",8.352
2024,"PODRAVSKA","ZC Maribor; TRŽAŠKA CESTA 39, 2000 MARIBOR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",43.565
2024,"PODRAVSKA","ZC Maribor; TRŽAŠKA CESTA 39, 2000 MARIBOR","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.34
2024,"PODRAVSKA","ZC Maribor; TRŽAŠKA CESTA 39, 2000 MARIBOR","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",53.18
2024,"PODRAVSKA","ZC Maribor; TRŽAŠKA CESTA 39, 2000 MARIBOR","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",21.193
2024,"PODRAVSKA","ZC Maribor; TRŽAŠKA CESTA 39, 2000 MARIBOR","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",56.155
2024,"PODRAVSKA","Zbirni center - Oplotnica","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",25.65
2024,"PODRAVSKA","Zbirni center - Oplotnica","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",177.41
2024,"PODRAVSKA","Zbirni center - Oplotnica","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",61.93
2024,"PODRAVSKA","Zbirni center - Poljčane","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",25.42
2024,"PODRAVSKA","Zbirni center - Poljčane","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",206.102
2024,"PODRAVSKA","Zbirni center - Poljčane","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",53.364
2024,"PODRAVSKA","Zbirni center - Pragersko","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",116.62
2024,"PODRAVSKA","Zbirni center - Pragersko","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1190.904
2024,"PODRAVSKA","Zbirni center - Pragersko","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",306.94
2024,"PODRAVSKA","Zbirni center - Rače","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",50.31
2024,"PODRAVSKA","Zbirni center - Rače","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",347.664
2024,"PODRAVSKA","Zbirni center - Rače","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",94.62
2024,"PODRAVSKA","Zbirni center 1; ROGOZNIĹ KA CESTA 33, 2250 PTUJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",254.151
2024,"PODRAVSKA","Zbirni center 1; ROGOZNIĹ KA CESTA 33, 2250 PTUJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",584.897
2024,"PODRAVSKA","Zbirni center 1; ROGOZNIĹ KA CESTA 33, 2250 PTUJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",458.12
2024,"PODRAVSKA","Zbirni center 1; ROGOZNIĹ KA CESTA 33, 2250 PTUJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1159.305
2024,"PODRAVSKA","Zbirni center Dobrava","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",132.12
2024,"PODRAVSKA","Zbirni center Dobrava","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",5.42
2024,"PODRAVSKA","Zbirni center Dobrava","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",61.318
2024,"PODRAVSKA","Zbirni center Dobrava","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",8.92
2024,"PODRAVSKA","Zbirni center Dobrava","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",530.16
2024,"PODRAVSKA","Zbirni center Hoče - Slivnica","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",28
2024,"PODRAVSKA","Zbirni center Hoče - Slivnica","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",364.616
2024,"PODRAVSKA","Zbirni center Hoče - Slivnica","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",411.84
2024,"PODRAVSKA","Zbirni center Hoče - Slivnica","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",165.47
2024,"PODRAVSKA","Zbirni center Kungota","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",24.65
2024,"PODRAVSKA","Zbirni center Kungota","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",65.153
2024,"PODRAVSKA","Zbirni center Kungota","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",105.1
2024,"PODRAVSKA","Zbirni center Kungota","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",217.59
2024,"PODRAVSKA","Zbirni center Lahova","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",267.42
2024,"PODRAVSKA","Zbirni center Lahova","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",9.26
2024,"PODRAVSKA","Zbirni center Lahova","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",28.208
2024,"PODRAVSKA","Zbirni center Lahova","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2727.52
2024,"PODRAVSKA","Zbirni center Lahova","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",888.623
2024,"PODRAVSKA","Zbirni center Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",3.32
2024,"PODRAVSKA","Zbirni center Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",763.103
2024,"PODRAVSKA","Zbirni center Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",82.642
2024,"PODRAVSKA","Zbirni center Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",19.02
2024,"PODRAVSKA","Zbirni center Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",274.62
2024,"PODRAVSKA","Zbirni center Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",821.175
2024,"PODRAVSKA","Zbirni center Lovrenc na Pohorju","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.802
2024,"PODRAVSKA","Zbirni center Lovrenc na Pohorju","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",45.56
2024,"PODRAVSKA","Zbirni center Lovrenc na Pohorju","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",160.72
2024,"PODRAVSKA","Zbirni center Lovrenc na Pohorju","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",75.36
2024,"PODRAVSKA","Zbirni center Melje","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",260.94
2024,"PODRAVSKA","Zbirni center Melje","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",20
2024,"PODRAVSKA","Zbirni center Melje","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3156.374
2024,"PODRAVSKA","Zbirni center Melje","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2131.04
2024,"PODRAVSKA","Zbirni center Melje","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",852.291
2024,"PODRAVSKA","Zbirni center Miklavž na Dravskem polju","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.48
2024,"PODRAVSKA","Zbirni center Miklavž na Dravskem polju","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",141.224
2024,"PODRAVSKA","Zbirni center Miklavž na Dravskem polju","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",252.52
2024,"PODRAVSKA","Zbirni center Miklavž na Dravskem polju","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",161.87
2024,"PODRAVSKA","Zbirni center Pesnica","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",37.643
2024,"PODRAVSKA","Zbirni center Pesnica","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",128.199
2024,"PODRAVSKA","Zbirni center Pesnica","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",324.36
2024,"PODRAVSKA","Zbirni center Pesnica","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",156.01
2024,"PODRAVSKA","Zbirni center Ruše","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",36.06
2024,"PODRAVSKA","Zbirni center Ruše","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",247.712
2024,"PODRAVSKA","Zbirni center Ruše","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",544.68
2024,"PODRAVSKA","Zbirni center Ruše","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",257.61
2024,"PODRAVSKA","Zbirni center Starše","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",21.76
2024,"PODRAVSKA","Zbirni center Starše","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",73.62
2024,"PODRAVSKA","Zbirni center Starše","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",516.8
2024,"PODRAVSKA","Zbirni center Starše","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",96.3
2024,"PODRAVSKA","Zbirni center komunalnih odpadkov Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",209.394
2024,"PODRAVSKA","Zbirni center komunalnih odpadkov Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",152.09
2024,"PODRAVSKA","Zbirni center komunalnih odpadkov Lenart; SPODNJI PORÄŚIÄŚ 4A, 2230 LENART V SLOV. GORICAH","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",9471.095
2024,"POMURSKA","CEROP -Dolga Vas","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",155.16
2024,"POMURSKA","CEROP -Dolga Vas","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",73
2024,"POMURSKA","CEROP -Dolga Vas","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",236.54
2024,"POMURSKA","Center za ravnanje z odpadki Puconci, sedeĹľ; VANEÄŚA 81B, 9201 PUCONCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",60.86
2024,"POMURSKA","Center za ravnanje z odpadki Puconci, sedeĹľ; VANEÄŚA 81B, 9201 PUCONCI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",28.7
2024,"POMURSKA","Center za ravnanje z odpadki Puconci, sedeĹľ; VANEÄŚA 81B, 9201 PUCONCI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",12.4
2024,"POMURSKA","Center za ravnanje z odpadki Puconci, sedeĹľ; VANEÄŚA 81B, 9201 PUCONCI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",198.25
2024,"POMURSKA","Gornja Radgona","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",48.59
2024,"POMURSKA","Gornja Radgona","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",194.39
2024,"POMURSKA","Gornja Radgona","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",97.04
2024,"POMURSKA","Gornja Radgona","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",255.69
2024,"POMURSKA","SEDEŽ; GLAVNA ULICA 109, 9220 LENDAVA - LENDVA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3.44
2024,"POMURSKA","Skladišče Lendava; TRIMLINI 2C, 9220 LENDAVA - LENDVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",481.329
2024,"POMURSKA","Skladišče Lendava; TRIMLINI 2C, 9220 LENDAVA - LENDVA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",189.093
2024,"POMURSKA","Skladišče Lendava; TRIMLINI 2C, 9220 LENDAVA - LENDVA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",188.167
2024,"POMURSKA","Skladišče Lendava; TRIMLINI 2C, 9220 LENDAVA - LENDVA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0.46
2024,"POMURSKA","Skladišče Murska Sobota; MARKIŠAVSKA ULICA 7, 9000 MURSKA SOBOTA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",94.32
2024,"POMURSKA","Vaneča (CEROP); VANEČA 81B, 9201 PUCONCI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0.44
2024,"POMURSKA","Velika Polana","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",9.74
2024,"POMURSKA","Velika Polana","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2.1
2024,"POMURSKA","Velika Polana","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",33.08
2024,"POMURSKA","ZBIRNI CENTER NORŠINSKA MURSKA SOBOTA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",311.44
2024,"POMURSKA","ZBIRNI CENTER NORŠINSKA MURSKA SOBOTA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1297.1
2024,"POMURSKA","ZBIRNI CENTER NORŠINSKA MURSKA SOBOTA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",887.08
2024,"POMURSKA","ZBIRNI CENTER NORŠINSKA MURSKA SOBOTA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2152.49
