year,statistical_region,treatment_inlet_delivered_waste_code,input_waste_name,waste_category,treatment_operation,treatment_outlet_delivered_waste_code,output_waste_name,waste_category_1,further_treatment_envisaged,waste_sent_to_self_storage_end_year,waste_sent_to_collector_SI,waste_sent_to_treatment_operator,waste_sent_to_EU_member_states,waste_sent_to_non_EU_countries,waste_sent_to_no_further_management
2022,JUGOVZHODNA SLOVENIJA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_12,0,0,67.66,0,0,0
2022,JUGOVZHODNA SLOVENIJA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",19 12 12,Other Mechanically Treated Waste (19 12 12),Waste Treatment Residues,R_12,0,0,1755.937,0,0,0
2022,JUGOVZHODNA SLOVENIJA,07 02 13,Waste Plastics (07 02 13),Organic Chemical Waste,R_03,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,R_03,0,0,39.67,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,0,0,0,6138.536,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,undefined,561.14,0,0,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,0,0,436.507,563.799,19.46,0
2022,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,0,0,97.935,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 02,Plastic Packaging (15 01 02),Packaging Waste,R_03,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,0,0,78.61,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,undefined,0,406.277,0,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",15 01 03,Wooden Packaging (15 01 03),Packaging Waste,PU,0,0,51.3,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",15 01 03,Wooden Packaging (15 01 03),Packaging Waste,R_03,0,0,74.12,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",0,0,739.18,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",15 01 03,Wooden Packaging (15 01 03),Packaging Waste,undefined,244.35,0,0,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",0,0,227.734,0,0,0
