"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","waste_by_municipality"
2022,"PODRAVSKA","RUŠE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",162.227
2022,"PODRAVSKA","SELNICA OB DRAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",24.262
2022,"PODRAVSKA","SELNICA OB DRAVI","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",15.18
2022,"PODRAVSKA","SELNICA OB DRAVI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",93.988
2022,"PODRAVSKA","SELNICA OB DRAVI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",173.561
2022,"PODRAVSKA","SELNICA OB DRAVI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",85.471
2022,"PODRAVSKA","SLOVENSKA BISTRICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",284.746
2022,"PODRAVSKA","SLOVENSKA BISTRICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",465.108
2022,"PODRAVSKA","SLOVENSKA BISTRICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",729.627
2022,"PODRAVSKA","SLOVENSKA BISTRICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",267.74
2022,"PODRAVSKA","SREDIŠČE OB DRAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",16.3
2022,"PODRAVSKA","SREDIŠČE OB DRAVI","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1.6
2022,"PODRAVSKA","SREDIŠČE OB DRAVI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",15.188
2022,"PODRAVSKA","SREDIŠČE OB DRAVI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5.16
2022,"PODRAVSKA","SREDIŠČE OB DRAVI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",70.37
2022,"PODRAVSKA","STARŠE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",29.94
2022,"PODRAVSKA","STARŠE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",123.911
2022,"PODRAVSKA","STARŠE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",296.76
2022,"PODRAVSKA","STARŠE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",113.45
2022,"PODRAVSKA","SVETA ANA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",10.46
2022,"PODRAVSKA","SVETA ANA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",10.96
2022,"PODRAVSKA","SVETA ANA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",17.69
2022,"PODRAVSKA","SVETA ANA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.19
2022,"PODRAVSKA","SVETA ANA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",69.2
2022,"PODRAVSKA","SVETA TROJICA V SLOVENSKIH GORICAH","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",14.85
2022,"PODRAVSKA","SVETA TROJICA V SLOVENSKIH GORICAH","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",5.991
2022,"PODRAVSKA","SVETA TROJICA V SLOVENSKIH GORICAH","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8.982
2022,"PODRAVSKA","SVETA TROJICA V SLOVENSKIH GORICAH","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3.095
2022,"PODRAVSKA","SVETA TROJICA V SLOVENSKIH GORICAH","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",65.045
2022,"PODRAVSKA","SVETI ANDRAŽ V SLOV. GORICAH","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",274.084
2022,"PODRAVSKA","SVETI ANDRAŽ V SLOV. GORICAH","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",28.044
2022,"PODRAVSKA","SVETI ANDRAŽ V SLOV. GORICAH","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",16.196
2022,"PODRAVSKA","SVETI JURIJ V SLOVENSKIH GORICAH","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",13.76
2022,"PODRAVSKA","SVETI JURIJ V SLOVENSKIH GORICAH","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",8.4
2022,"PODRAVSKA","SVETI JURIJ V SLOVENSKIH GORICAH","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",7.76
2022,"PODRAVSKA","SVETI JURIJ V SLOVENSKIH GORICAH","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.04
2022,"PODRAVSKA","SVETI JURIJ V SLOVENSKIH GORICAH","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",46.28
2022,"PODRAVSKA","SVETI TOMAŽ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",10.86
2022,"PODRAVSKA","SVETI TOMAŽ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1.06
2022,"PODRAVSKA","SVETI TOMAŽ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",75.411
2022,"PODRAVSKA","SVETI TOMAŽ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",46.85
2022,"PODRAVSKA","TRNOVSKA VAS","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",335.095
2022,"PODRAVSKA","TRNOVSKA VAS","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",9.04
2022,"PODRAVSKA","TRNOVSKA VAS","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",25.595
2022,"PODRAVSKA","TRNOVSKA VAS","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",17.82
2022,"PODRAVSKA","TRNOVSKA VAS","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",62.972
2022,"PODRAVSKA","VIDEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",32.152
2022,"PODRAVSKA","VIDEM","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",21.56
2022,"PODRAVSKA","VIDEM","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",88.238
2022,"PODRAVSKA","VIDEM","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",28.08
2022,"PODRAVSKA","VIDEM","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",115.608
2022,"PODRAVSKA","ZAVRČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",9.465
2022,"PODRAVSKA","ZAVRČ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",22.523
2022,"PODRAVSKA","ZAVRČ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",16.771
2022,"PODRAVSKA","ŠENTILJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",13.76
2022,"PODRAVSKA","ŠENTILJ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",76.285
2022,"PODRAVSKA","ŠENTILJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",42.607
2022,"PODRAVSKA","ŠENTILJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",144.831
2022,"PODRAVSKA","ŠENTILJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",414.956
2022,"PODRAVSKA","ŽETALE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",9.382
2022,"PODRAVSKA","ŽETALE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",7.02
2022,"PODRAVSKA","ŽETALE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",21.936
2022,"PODRAVSKA","ŽETALE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5.56
2022,"PODRAVSKA","ŽETALE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",57.174
2022,"POMURSKA","APAČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",67.24
