year,statistical_region,type_of_waste,total_waste_collected,waste_from_producers_no_record,waste_from_producers_with_record,waste_from_collectors_RS,waste_from_processors_RS
2021,JUGOVZHODNA SLOVENIJA,Wooden Packaging,24.705,0,24.705,0,0
2021,KOROŠKA,Paper/Cardboard Packaging,1655.2,486.367,1029.028,88.485,51.32
2021,KOROŠKA,Wood,20.95,0,20.95,0,0
2021,KOROŠKA,Wooden Packaging,474.358,0,429.592,44.766,0
2021,OBALNO-KRAŠKA,Paper/Cardboard Packaging,1591.585,1485.997,105.588,0,0
2021,OBALNO-KRAŠKA,Sawdust and Wood Cuttings,99.7,0,99.7,0,0
2021,OBALNO-KRAŠKA,Other Wood Waste,3841.907,3832.487,9.42,0,0
2021,OBALNO-KRAŠKA,Wooden Packaging,1477.98,0,1477.98,0,0
2021,OSREDNJESLOVENSKA,Paper/Cardboard Packaging,10553.903,4723.054,4988.473,315.543,526.833
2021,OSREDNJESLOVENSKA,Sawdust and Wood Cuttings,5.62,0,5.62,0,0
2021,OSREDNJESLOVENSKA,Wood,263.185,0,263.185,0,0
2021,OSREDNJESLOVENSKA,Other Wood Waste,12562.01,12412.183,149.827,0,0
2021,OSREDNJESLOVENSKA,Wooden Packaging,4354.159,564.08,3630.199,80.55,79.33
2021,PODRAVSKA,Paper/Cardboard Packaging,2207.845,1980.161,167.099,60.585,0
2021,PODRAVSKA,Sawdust and Wood Cuttings,144.98,0,144.98,0,0
2021,PODRAVSKA,Wood,187.24,0,134.79,52.45,0
2021,PODRAVSKA,Other Wood Waste,9100.108,8849.84,250.268,0,0
2021,PODRAVSKA,Wooden Packaging,807.694,269.038,536.316,2.34,0
2021,POMURSKA,Paper/Cardboard Packaging,1182.86,602.02,580.84,0,0
2021,POMURSKA,Wood,82.98,0,82.98,0,0
2021,POMURSKA,Other Wood Waste,1154.02,957.76,11.48,184.78,0
2021,POMURSKA,Wooden Packaging,188.981,0,188.981,0,0
2021,POSAVSKA,Paper/Cardboard Packaging,1920.125,1074.742,722.896,122.487,0
2021,POSAVSKA,Sawdust and Wood Cuttings,110.922,0,110.922,0,0
2021,POSAVSKA,Other Wood Waste,2310.4,974.22,1015.936,320.244,0
2021,POSAVSKA,Wooden Packaging,252.357,4.43,246.287,1.64,0
2021,PRIMORSKO-NOTRANJSKA,Paper/Cardboard Packaging,477.875,246.475,231.4,0,0
2021,PRIMORSKO-NOTRANJSKA,Other Wood Waste,1336.9,1318.12,18.78,0,0
2021,PRIMORSKO-NOTRANJSKA,Wooden Packaging,15.16,0.26,14.9,0,0
2021,SAVINJSKA,Paper/Cardboard Packaging,6627.561,1801.954,4819.647,0,5.96
2021,SAVINJSKA,Sawdust and Wood Cuttings,824.94,0,73.5,0,751.44
2021,SAVINJSKA,Wood,510.458,0,510.458,0,0
2021,SAVINJSKA,Other Wood Waste,2819.564,2797.884,0,21.68,0
2021,SAVINJSKA,Wooden Packaging,4090.843,21.803,3916.04,87.84,65.16
2021,ZASAVSKA,Paper/Cardboard Packaging,1076.082,505.309,424.735,146.038,0
2021,ZASAVSKA,Wood,1.76,0,1.76,0,0
2021,ZASAVSKA,Other Wood Waste,1070.495,1067.645,2.85,0,0
2021,ZASAVSKA,Wooden Packaging,361.71,0,289.96,71.75,0
2022,GORENJSKA,Paper/Cardboard Packaging,2010.6,2010.6,0,0,0
2022,GORENJSKA,Wooden Packaging,96.8,96.8,0,0,0
2022,GORENJSKA,Wood,622.19,610.91,11.28,0,0
2022,GORENJSKA,Other Wood Waste,4561.9,4522.08,39.82,0,0
2022,GORIŠKA,Sawdust and Wood Cuttings,36.265,0,36.265,0,0
2022,GORIŠKA,Paper/Cardboard Packaging,1788.722,1205.934,582.788,0,0
2022,GORIŠKA,Wooden Packaging,171.586,62.206,109.38,0,0
2022,GORIŠKA,Wood,116.935,1.125,115.81,0,0
2022,GORIŠKA,Other Wood Waste,3601.72,3587.06,14.66,0,0
2022,JUGOVZHODNA SLOVENIJA,Sawdust and Wood Cuttings,4096.7,0,77.28,0,4019.42
2022,JUGOVZHODNA SLOVENIJA,Paper/Cardboard Packaging,1644.047,1614.949,29.098,0,0
2022,JUGOVZHODNA SLOVENIJA,Wooden Packaging,6.967,0,6.967,0,0
2022,JUGOVZHODNA SLOVENIJA,Wood,82.23,0,82.23,0,0
2022,JUGOVZHODNA SLOVENIJA,Other Wood Waste,2783.78,2779.42,4.36,0,0
2022,KOROŠKA,Paper/Cardboard Packaging,1468.928,497.09,859.498,104.34,8
2022,KOROŠKA,Wooden Packaging,471.58,0,471.58,0,0
2022,KOROŠKA,Wood,5.16,0,5.16,0,0
2022,KOROŠKA,Other Wood Waste,48.56,0,48.56,0,0
2022,OBALNO-KRAŠKA,Sawdust and Wood Cuttings,66.56,0,66.56,0,0
2022,OBALNO-KRAŠKA,Paper/Cardboard Packaging,1574.847,1473.973,100.874,0,0
