"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated_stored","temporarily_stored_start_year","generated_in_the_year","temporarily_stored_end_year","total_waste_given_away","waste_treated_by_original_generator","waste_transferred_for_treatment_in_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2024,"OBALNO-KRAŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",8.824,0,8.824,0,8.824,0,8.824,0,0
2024,"OBALNO-KRAŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",15.09,0,15.09,0,15.09,0,15.09,0,0
2024,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",285.553,0.06,285.493,0.1,285.453,0,285.453,0,0
2024,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",36.74,0.03,36.71,0.7,36.04,0,36.04,0,0
2024,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",211.639,0,211.639,0,211.639,0,211.639,0,0
2024,"OSREDNJESLOVENSKA","02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste",131.74,0,131.74,0,131.74,0,131.74,0,0
2024,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1281.63,15,1266.63,16.5,675.13,590,675.13,0,0
2024,"OSREDNJESLOVENSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",20.82,0,20.82,0,20.82,0,20.82,0,0
2024,"OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1403.637,0,1403.637,0,1403.637,0,1403.637,0,0
2024,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",21870.09,24.686,21845.404,33.358,21836.281,0.451,21836.281,0,0
2024,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",6332.117,18.598,6313.519,15.806,6315.851,0.46,6315.851,0,0
2024,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1674.535,0.14,1674.395,0.12,1674.415,0,1674.415,0,0
2024,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",183.775,0.035,183.74,0.035,183.74,0,183.74,0,0
2024,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",12.21,0,12.21,0,12.21,0,12.21,0,0
2024,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",23322.835,4.699,23318.136,22.519,23299.763,0.553,23299.763,0,0
2024,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",742.182,0,742.182,0,742.182,0,742.182,0,0
2024,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1388.956,0,1388.956,0.133,1388.823,0,1388.823,0,0
2024,"PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",703.867,0,703.867,0,703.867,0,703.867,0,0
2024,"PODRAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1672.76,0,1672.76,0,1669.98,2.78,1669.98,0,0
