"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","municipal_waste_collected_by_municipality"
2020,"GORENJSKA","GORJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18.329
2020,"OSREDNJESLOVENSKA","LOG-DRAGOMER","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",20.627
2020,"SAVINJSKA","REČICA OB SAVINJI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",24.509
2020,"OSREDNJESLOVENSKA","DOBROVA-POLHOV GRADEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18.063
2020,"JUGOVZHODNA SLOVENIJA","ŠENTRUPERT","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",28.683
2020,"JUGOVZHODNA SLOVENIJA","MIRNA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",28.664
2020,"OBALNOKRAŠKA","ANKARAN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",33.728
2020,"OSREDNJESLOVENSKA","DOL PRI LJUBLJANI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",25.801
2020,"OSREDNJESLOVENSKA","DOMŽALE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",844.442
2020,"PODRAVSKA","DORNAVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",20.754
2020,"KOROŠKA","DRAVOGRAD","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",212.962
2020,"PODRAVSKA","DUPLEK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",64.116
2020,"GORENJSKA","GORENJA VAS-POLJANE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",51.348
2020,"PODRAVSKA","GORIŠNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",30.45
2020,"POMURSKA","GORNJA RADGONA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",53.47
2020,"GORENJSKA","BLED","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",95.413
2020,"SAVINJSKA","GORNJI GRAD","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.876
2020,"POMURSKA","GORNJI PETROVCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.32
2020,"OSREDNJESLOVENSKA","GROSUPLJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",231.46
2020,"POMURSKA","ŠALOVCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.36
2020,"ZASAVSKA","HRASTNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",425.895
2020,"OBALNOKRAŠKA","HRPELJE-KOZINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",57.088
2020,"GORIŠKA","IDRIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",335.89
2020,"OSREDNJESLOVENSKA","IG","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",47.058
2020,"PRIMORSKONOTRANJSKA","ILIRSKA BISTRICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",179.133
2020,"OSREDNJESLOVENSKA","IVANČNA GORICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",143.721
2020,"GORENJSKA","BOHINJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",62
2020,"OBALNOKRAŠKA","IZOLA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",462.493
2020,"GORENJSKA","JESENICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",160.806
2020,"PODRAVSKA","JURŠINCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18
2020,"OSREDNJESLOVENSKA","KAMNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",551.77
2020,"GORIŠKA","KANAL","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",11.701
2020,"PODRAVSKA","KIDRIČEVO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",61.346
2020,"GORIŠKA","KOBARID","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",63.688
2020,"POMURSKA","KOBILJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.4
2020,"JUGOVZHODNA SLOVENIJA","KOČEVJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",224.442
2020,"OBALNOKRAŠKA","KOMEN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.35
2020,"OSREDNJESLOVENSKA","BOROVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",26.242
2020,"OBALNOKRAŠKA","KOPER","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",705.935
2020,"SAVINJSKA","KOZJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.37
2020,"GORENJSKA","KRANJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",640.072
2020,"GORENJSKA","KRANJSKA GORA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",159.22
2020,"POSAVSKA","KRŠKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",943.195
2020,"PODRAVSKA","KUNGOTA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",17.828
2020,"POMURSKA","KUZMA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5.42
2020,"SAVINJSKA","LAŠKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",167.323
2020,"POMURSKA","LENDAVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",247.405
2020,"GORIŠKA","BOVEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",72.356
2020,"ZASAVSKA","LITIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",387.603
2020,"OSREDNJESLOVENSKA","LJUBLJANA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4766.252
2020,"SAVINJSKA","LJUBNO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5.345
2020,"POMURSKA","LJUTOMER","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",16.77
2020,"OSREDNJESLOVENSKA","LOGATEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",211.706
2020,"PRIMORSKONOTRANJSKA","LOŠKA DOLINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",59.511
2020,"JUGOVZHODNA SLOVENIJA","LOŠKI POTOK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18.36
2020,"SAVINJSKA","LUČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.849
2020,"OSREDNJESLOVENSKA","LUKOVICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",51.464
2020,"PODRAVSKA","MAJŠPERK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",31.554
2020,"GORIŠKA","BRDA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",60.938
2020,"PODRAVSKA","MARIBOR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",537.212
