"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_received","untreated_waste_from_storage_start_year","waste_received_own_waste","waste_received_from_generators","waste_received_from_collectors","waste_received_from_treatment","waste_received_from_EU","waste_received_from_non_EU"
2024,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2093.796,0,0,1506.523,587.273,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",29.84,0,0,28.38,1.46,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",18124.173,0,0,75.827,6648.216,11400.13,0,0
2024,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",201.02,0,0,201.02,0,0,0,0
2024,"KOROŠKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",128.92,0,0,128.92,0,0,0,0
2024,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1237.8,0,0.1,859.64,362.09,15.97,0,0
2024,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",297.816,0,0.052,297.764,0,0,0,0
2024,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",59.289,0,0,59.289,0,0,0,0
2024,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1131.156,0,0.33,524.112,606.714,0,0,0
2024,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",11074.03,0,0,48.05,11025.98,0,0,0
2024,"OBALNO-KRAŠKA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste",18.82,0,0,18.82,0,0,0,0
2024,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1.64,0,0,1.64,0,0,0,0
2024,"OBALNO-KRAŠKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",84.91,0,0,84.91,0,0,0,0
2024,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2907.752,0,0,1791.785,1099.402,16.565,0,0
2024,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",834.327,0,0,759.607,0,74.72,0,0
2024,"OBALNO-KRAŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",353.338,8.4,0,344.938,0,0,0,0
2024,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",781.962,0,0,606.018,175.944,0,0,0
2024,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",78.521,0,0,60.051,18.47,0,0,0
2024,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",106.552,0,0,106.552,0,0,0,0
2024,"OSREDNJESLOVENSKA","02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste",447.79,0,0,447.79,0,0,0,0
2024,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",3354.453,0,580,2481.155,250.618,42.68,0,0
2024,"OSREDNJESLOVENSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",20.82,0,0,20.82,0,0,0,0
2024,"OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",27858.79,2144.83,0,6017.317,2317.423,38.5,17340.72,0
2024,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",71745.916,0,204.507,28289.085,15654.898,25648.483,1808.653,140.29
2024,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",23038.085,0,30.76,5154.938,6983.087,10869.3,0,0
2024,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",5881.948,0,0,2803.477,1359.051,1719.42,0,0
2024,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",65473.231,6033.242,0,0,78.982,36476.767,20339.55,2544.69
